Commodity,Item,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cashew,CASH COSTS,442,541,569,592,601,611,624,640,665,697,722,742,794,820,837,863,872,903,950,987,1008.00,1057.18,1118.69,1174.41,1217.41
Cashew,..Fertilizer,3,1,1,1,1,1,1,1,1,2,2,2,3,2,2,2,2,2,2,2,2.00,1.56,1.66,1.76,1.65
Cashew,..Hired labor,110,205,221,238,240,240,248,260,271,287,299,311,339,350,359,375,375,395,422,453,467.00,507.47,554.37,599.29,632.55
Cashew,..Land tax,199,201,203,205,207,209,211,213,215,217,219,221,223,225,227,229,231,233,235,240,243.00,244.96,247.41,249.89,252.39
Cashew,..Lease rental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
Cashew,..Transport of inputs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
Cashew,..Food expense,44,45,49,51,52,54,55,56,60,64,68,70,80,85,88,92,96,99,111,111,113.00,116.88,124.61,126.82,130.33
Cashew,..Repairs,86,89,95,97,101,107,109,110,118,127,134,138,149,158,161,165,168,174,180,181,184.00,186.31,190.65,196.66,200.50
Cashew,..NON-CASH COSTS,176,235,217,252,232,251,252,216,273,294,280,299,315,309,325,340,364,383,414,453,474.00,562.31,710.55,722.52,809.48
Cashew,..Hired labor paid in kind,118,131,145,156,157,157,162,168,175,185,193,201,203,206,219,229,244,257,275,296,305.00,310.29,338.97,366.44,386.77
Cashew,..Landlord's share,31,30,21,38,37,46,44,22,44,49,40,45,51,47,44,46,50,50,50,51,53.00,77.37,112.06,103.12,120.60
Cashew,Harvester's share,27,74,51,58,38,48,46,26,54,60,47,53,61,56,62,65,70,76,89,106,116.00,174.64,259.53,252.96,302.11
Cashew,..IMPUTED COSTS,1553,2538,2462,3028,2998,3238,3264,2825,3475,3732,3610,3847,4253,4214,4343,4487,4605,4787,5041.45,5352,5555.00,6537.85,7839.25,8035.48,8796.67
Cashew,..Operator/Family labor,686,1679,1828,1964,1973,1974,2048,2150,2242,2373,2473,2570,2803,2850,3034,3101,3097,3265,3488,3747,3861.00,4194.34,4581.95,4953.26,5228.12
Cashew,..Depreciation,50,55,61,67,74,81,89,98,108,119,131,144,158,174,191,210,231,254,279,307,338.00,371.78,408.95,449.85,494.83
Cashew,..Interest on operating capital,18,33,36,38,26,30,22,25,27,29,29,27,30,30,28,25,21,23,23.45,25,26.00,28.66,34.13,42.60,44.95
Cashew,..Rental value of owned land,799,771,537,959,925,1153,1105,552,1098,1211,977,1106,1262,1160,1090,1151,1256,1245,1251,1272,1329.00,1943.08,2814.21,2589.78,3028.77
Cashew,ALL COSTS,2171,3314,3248,3872,3831,4100,4140,3681,4413,4723,4612,4888,5362,5343,5505,5690,5841,6073,6405.45,6792,7038.00,8157.34,9668.49,9932.41,10823.56
Cashew,GROSS RETURNS,3811,10375,6886,7804,7718,9700,9270,5148,10782,11893,9348,10526,12016,11040,12176,12700,13708,14839,17414,21282,23389.00,35194.00,52299.95,50977.55,60880.77
Cashew,RETURNS ABOVE CASH COST,3369,9834,6317,7212,7117,9089,8646,4508,10117,11196,8626,9784,11222,10220,11340,11837,12836,13936,16464,20295,22381.00,34136.82,51181.26,49803.14,59663.36
Cashew,RETURNS ABOVE CASH AND NON-CASH COSTS,3193,9599,6100,6960,6885,8838,8394,4292,9844,10902,8346,9485,10907,9911,11015,11497,12472,13553,16050,19842,21906.00,33574.51,50470.71,49080.62,58853.89
Cashew,NET RETURNS,1640,7061,3638,3932,3887,5600,5130,1467,6369,7170,4736,5638,6654,5697,6672,7010,7867,8767,11008.55,14490,16351.00,27036.66,42631.46,41045.14,50057.21
Cashew,NET PROFIT-COST RATIO,0.76,2.13,1.12,1.02,1.01,1.37,1.24,0.4,1.44,1.52,1.03,1.15,1.24,1.07,1.21,1.23,1.35,1.44,1.72,2.13,2.32,3.31,4.41,4.13,4.62
Cashew,Cost per kilogram (pesos),10.59,5.73,5.91,11.09,10.7,11.36,11.5,9.2,10.48,11.22,11.25,11.98,13.14,13.1,11.49,12.03,12.48,11.88,10.73,9.46,9.32,10.49,12.12,11.76,12.55
Cashew,Yield per hectare (kg),205,578,550,349,358,361,360,400,421,421,410,408,408,408,479,473,468,511,597,718,755.00,777.26,797.50,844.70,862.58
Cashew,Farmgate price (pesos/kg),18.59,17.95,12.52,22.36,21.56,26.87,25.75,12.87,25.61,28.25,22.8,25.8,29.45,27.06,25.42,26.85,29.29,29.04,29.17,29.64,30.97,45.28,65.58,60.35,70.58
Pili,CASH COSTS,3327,3617,3883,4114,4170,4240,4335,4515,4707,4947,5172,5366,5862,6022,6182,6412,6774,7113,7559,8022,8262.00,8378.96,9083.16,9688.49,10094.63
Pili,..Fertilizer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Pili,..Hired labor,2292,2573,2788,2995,3024,3025,3123,3280,3420,3619,3772,3920,4275,4415,4527,4731,5044,5338,5703,6125,6312.00,6398.04,6989.31,7555.70,7974.99
Pili,..Land tax,458,463,468,473,478,483,488,493,498,503,508,513,518,523,528,533,538,543,548,555,561.00,566.55,572.22,577.94,583.72
Pili,..Lease rental,113,98,105,106,108,139,121,129,130,112,134,153,206,181,200,186,201,213,240,255,288.00,284.61,338.57,344.63,295.95
Pili,..Transport of inputs,31,34,40,43,49,55,56,58,65,77,87,87,96,91,96,104,106,107,107,108,107.00,112.23,119.64,120.89,124.76
Pili,..Food expense,207,214,232,242,246,258,263,269,286,305,322,333,378,400,412,429,439,451,483,494,502.00,518.28,552.56,562.36,577.94
Pili,..Repairs,226,235,250,255,265,280,284,286,308,331,349,360,389,412,419,429,446,461,478,484,493.00,499.24,510.87,526.98,537.27
Pili,..NON-CASH COSTS,6767,5892,6654,5185,6419,6453,6864,6946,6959,6796,7005,7191,7693,7456,7642,7514,8835,9629,9921,10577,11849.00,11888.23,14551.46,14574.20,12114.18
Pili,..Hired labor paid in kind,60,67,73,79,80,80,83,86,90,95,99,103,104,107,110,118,123,130,139,150,155.00,157.33,171.87,185.79,196.10
Pili,..Landlord's share,1077,935,1004,1006,1021,1316,1143,1222,1231,1063,1268,1450,1951,1711,1894,1758,1902,2013,2268,2410,2717.00,2688.54,3198.18,3255.43,2795.64
Pili,Harvester's share,5630,4890,5577,4100,5318,5057,5638,5638,5638,5638,5638,5638,5638,5638,5638,5638,6810,7486,7514,8017,8977.00,9042.36,11181.41,11132.98,9122.43
Pili,..IMPUTED COSTS,3442,3855,4166,4380,4289,4760,4525,4814,4996,4975,5406,5781,6816,6644,7000,7097,7322.99,7559.47,8246.38,8841,9492.00,10054.91,11384.59,12123.92,11975.83
Pili,..Operator/Family labor,1462,2010,2178,2340,2362,2363,2440,2563,2672,2828,2947,3063,3340,3449,3537,3801,3801,3801,4061,4362,4495.00,4999.00,5460.97,5903.51,6231.11
Pili,..Depreciation,138,152,167,184,202,222,244,268,295,325,358,394,433,476,524,576,634,697,767,842,927.00,1019.25,1121.17,1233.29,1356.62
Pili,..Interest on operating capital,367,412,446,479,328,375,278,311,344,367,366,340,374,378,347,314,284.99,307.47,315.38,342,356.00,360.21,429.07,535.47,565.19
Pili,..Rental value of owned land,1475,1281,1375,1377,1397,1800,1563,1672,1685,1455,1735,1984,2669,2341,2592,2406,2603,2754,3103,3295,3715.00,3676.46,4373.37,4451.65,3822.91
Pili,ALL COSTS,13536,13364,14703,13679,14878,15453,15724,16275,16662,16718,17583,18338,20371,20122,20824,21023,22931.99,24301.47,25726.38,27441,29603.00,30322.10,35019.21,36386.61,34184.64
Pili,GROSS RETURNS,36271,31689,36142,26569,40288,38309,42711,46472,48324,43995,49505,57723,86251,78786,94710,88598,107014,117628,118058,125985,141065.00,142092.00,175704.61,174943.55,143349.89
Pili,RETURNS ABOVE CASH COST,32944,28072,32259,22455,36118,34069,38376,41957,43617,39048,44333,52357,80389,72764,88528,82186,100240,110515,110499,117963,132803.00,133713.04,166621.45,165255.06,133255.26
Pili,RETURNS ABOVE CASH AND NON-CASH COSTS,26177,22180,25605,17270,29699,27616,31512,35011,36658,32252,37328,45166,72696,65308,80886,74672,91405,100886,100578,107385,120954.00,121824.81,152069.99,150680.87,121141.08
Pili,NET RETURNS,22735,18325,21439,12890,25410,22856,26987,30197,31662,27277,31922,39385,65880,58664,73886,67575,84082.01,93326.53,92331.62,98544,111462.00,111769.90,140685.40,138556.94,109165.25
Pili,NET PROFIT-COST RATIO,1.68,1.37,1.46,0.94,1.71,1.48,1.72,1.86,1.9,1.63,1.82,2.15,3.23,2.92,3.55,3.21,3.67,3.84,3.59,3.59,3.77,3.69,4.02,3.81,3.19
Pili,Cost per kilogram (pesos),6.88,6.36,6.59,8.42,6.13,8.63,6.84,6.96,6.9,6.57,7.32,7.49,7.49,7.1,6.77,6.78,6.63,6.76,8.03,8.53,9.26,9.32,10.36,11.00,10.83
Pili,Yield per hectare (kg),1967,2100,2231,1624,2427,1791,2300,2340,2415,2546,2402,2449,2720,2833,3076,3100,3461,3595,3202,3218,3196.00,3253.01,3381.54,3307.69,3156.10
Pili,Farmgate price (pesos/kg),18.44,15.09,16.2,16.36,16.6,21.39,18.57,19.86,20.01,17.28,20.61,23.57,31.71,27.81,30.79,28.58,30.92,32.72,36.87,39.15,44.14,43.68,51.96,52.89,45.42
