Commodity,Year,SU Beginning Stocks,SU Production,SU Imports,SU Gross Supply,UT Exports,UT Seeds,UT Feeds and Waste,UT Processing,UT Ending Stocks,UT Total Net Food Disposable,UT Per Capita (kg/yr),UT Per Capita (gm/day)
Rice,1990,1690,6095,606,8391,0,163,396,244,1899,5689,92.54,253.52
Rice,1991,1899,6326,0,8225,10,168,411,253,2120,5263,83.71,229.33
Rice,1992,2120,5970,1,8091,35,157,388,239,1673,5600,87.14,238.74
Rice,1993,1673,6170,202,8045,a/,161,401,247,1444,5792,88.52,242.52
Rice,1994,1444,6892,0,8336,0,179,448,276,1498,5935,86.49,236.95
Rice,1995,1498,6894,264,8656,0,184,448,276,1422,6325,92.54,253.55
Rice,1996,1422,7379,867,9668,0,194,480,295,1793,6907,98.74,270.51
Rice,1997,1793,7370,722,9885,0,188,479,295,1979,6944,97.05,265.88
Rice,1998,1979,5595,2171,9745,a/,155,364,224,2279,6723,91.91,251.8
Rice,1999,2279,7708,834,10821,a/,196,501,308,2365,7451,99.68,273.1
Rice,2000,2365,8103,639,11107,a/,198,527,324,2166,7892,103.16,282.62
Rice,2001,2166,8472,808,11446,a/,199,551,339,2271,8086,103.77,284.3
Rice,2002,2271,8679,1196,12146,a/,198,564,347,2448,8588,108.02,295.95
Rice,2003,2448,8829,886,12163,a/,197,574,353,2362,8677,107.02,293.21
Rice,2004,2362,9481,1001,12844,a/,202,616,379,2051,9595,116.07,318.01
Rice,2005,2051,9550,1822,13423,a/,200,621,382,2094,10127,118.81,325.5
Rice,2006,2094,10024,1716,13834,a/,204,652,401,2253,10324,118.71,325.22
Rice,2007,2253,10621,1806,14680,a/,210,690,425,2172,11183,126.26,345.91
Rice,2008,2172,10997,2432,15601,1,219,715,440,2639,11588,128.1,350.97
Rice,2009,2639,10633,1755,15027,a/,222,691,425,2629,11059,121.51,332.89
Rice,2010,2629,10315,2378,15322,a/,214,670,413,3424,10601,113.83,311.86
Rice,2011,3424,10911,707,15042,a/,223,709,436,2631,11043,116.46,319.07
Rice,2012,2631,11793,1041,15465,a/,230,767,472,2524,11473,118.88,325.69
Rice,2013,2524,12059,398,14981,2,233,784,482,2126,11354,115.63,316.79
Rice,2014,2126,12405,1087,15618,1,232,806,496,2662,11420,114.34,313.25
Rice,2015,2662,11870,1478,16010,a/,228,772,475,3199,11336,111.62,305.81
Rice,2016,3199,11528,605,15332,a/,223,749,461,2765,11133,107.83,295.43
Rice,2017,2765,12607,885,16256,a/,236,819,504,2290,12407,119.1,326.31
Rice,2018,2290,12469,2002,16761,a/,235,810,499,2551,12665,119.76,328.11
Rice,2019,2551,12305,3118,17974,a/,228,800,492,2675,13779,128.43,351.85
Corn,1990,138,4854,346,5338,a/,76,3155,648,602,857,13.94,38.19
Corn,1991,602,4655,0,5257,20,72,3026,621,459,1059,16.85,46.16
Corn,1992,459,4619,1,5079,0,67,3002,616,237,1157,18,49.32
Corn,1993,237,4798,1,5036,a/,63,3119,640,204,1010,15.44,42.3
Corn,1994,204,4519,1,4724,a/,60,2937,603,217,907,13.21,36.2
Corn,1995,217,4129,208,4554,a/,54,2684,551,190,1075,15.74,43.11
Corn,1996,190,4151,405,4746,a/,55,2698,554,260,1179,16.86,46.19
Corn,1997,260,4332,308,4900,a/,55,2816,578,323,1129,15.78,43.22
Corn,1998,323,3823,462,4608,a/,47,2485,510,471,1095,14.97,41.01
Corn,1999,471,4585,149,5205,a/,53,2980,612,238,1322,17.69,48.47
Corn,2000,238,4511,446,5195,a/,50,2932,602,190,1421,18.57,50.88
Corn,2001,190,4525,172,4887,a/,50,2941,604,177,1115,14.31,39.21
Corn,2002,177,4319,278,4774,a/,48,2807,576,232,1111,13.97,38.27
Corn,2003,232,4616,100,4948,a/,48,3000,616,211,1073,13.23,36.24
Corn,2004,211,5413,23,5647,a/,51,3518,722,191,1165,14.09,38.61
Corn,2005,191,5253,71,5515,a/,49,3414,701,204,1147,13.46,36.87
Corn,2006,204,6082,307,6593,1,51,3953,811,177,1600,18.4,50.4
Corn,2007,177,6737,152,7066,a/,53,4379,899,173,1562,17.64,48.32
Corn,2008,173,6928,23,7124,2,53,4503,924,198,1443,15.96,43.72
Corn,2009,198,7034,303,7535,1,54,4572,938,254,1716,18.85,51.65
Corn,2010,254,6377,88,6719,a/,50,4145,851,153,1520,16.32,44.72
Corn,2011,153,6971,66,7190,a/,51,4531,930,166,1512,15.95,43.69
Corn,2012,166,7407,137,7710,a/,52,4815,988,161,1694,17.56,48.1
Corn,2013,161,7377,342,7880,a/,51,4795,984,169,1881,19.15,52.47
Corn,2014,169,7771,575,8515,1,52,5051,1037,184,2190,21.93,60.07
Corn,2015,184,7519,712,8415,a/,51,4887,1003,387,2086,20.54,56.28
Corn,2016,387,7219,806,8412,a/,50,4692,963,382,2325,22.52,61.69
Corn,2017,382,7915,475,8772,a/,51,5145,1056,952,1569,15.06,41.27
Corn,2018,952,7772,1017,9740,a/,50,5052,1037,676,2925,27.66,75.79
Corn,2019,676,7979,458,9113,a/,50,5186,1064,812,2000,18.65,51.08
