Commodity,Year,SU Production,SU Imports,SU Gross Supply,UT Exports,UT Seeds,Wastes,Domestic Use
Abaca,1990,59418,0,59418,21160,.,.,38258
Abaca,1991,63991,0,63991,20830,.,.,43161
Abaca,1992,62684,0,62684,21030,.,.,41654
Abaca,1993,59517,0,59517,1730,.,.,57787
Abaca,1994,66410,0,66410,2132,.,.,64278
Abaca,1995,64833,0,64833,19970,.,.,44863
Abaca,1996,70431,0,70431,17254,.,.,53177
Abaca,1997,67110,3,67113,19537,.,.,47576
Abaca,1998,71217,b/,71217,24037,.,.,47180
Abaca,1999,73125,0,73125,20053,.,.,53072
Abaca,2000,77180,9676,86856,19652,.,.,67204
Abaca,2001,72861,490,73351,12775,.,.,60576
Abaca,2002,63028,68,63096,16965,.,.,46131
Abaca,2003,69765,56,69821,15731,.,.,54090
Abaca,2004,74465,198,74663,19999,.,.,54664
Abaca,2005,74014,0,74014,14372,.,.,59642
Abaca,2006,69802,39,69841,14170,.,.,55671
Abaca,2007,66437,164,66601,18674,.,.,47927
Abaca,2008,68386,9641,78027,13314,.,.,64713
Abaca,2009,65825,231,66056,6793,.,.,59263
Abaca,2010,66512,2987,69499,10803,.,.,58696
Abaca,2011,68613,434,69047,9198,.,.,59849
Abaca,2012,68510,103,68613,8202,.,.,60411
Abaca,2013,64952,725,65677,3271,.,.,62406
Abaca,2014,68052,1040,69092,13620,.,.,55472
Abaca,2015,70356,144,70500,48632,.,.,21868
Abaca,2016,71840,2299,74139,10673,.,.,63466
Abaca,2017,68841,5270,74111,18893,.,.,55218
Abaca,2018,71516,3036,74552,19215,.,.,55337
Abaca,2019,72209,5566,77774,11798,.,.,65976
Cotton,1990,12520,51080,63600,270,501,.,62829
Cotton,1991,15552,55600,71152,210,622,.,70320
Cotton,1992,37892,60310,98202,20,1516,.,96666
Cotton,1993,19214,57680,76894,404,769,.,75721
Cotton,1994,7203,76590,83793,343,288,.,83162
Cotton,1995,8093,57530,65623,324,324,.,64975
Cotton,1996,6507,77781,84288,272,260,.,83756
Cotton,1997,4119,68750,72869,27,165,.,72677
Cotton,1998,3380,42317,45697,22,135,.,45540
Cotton,1999,3151,53496,56647,0,126,.,56521
Cotton,2000,1114,51952,53066,0,45,.,53021
Cotton,2001,2489,46100,48589,68,100,.,48421
Cotton,2002,4541,45537,50078,753,182,.,49143
Cotton,2003,2231,31952,34183,689,89,.,33405
Cotton,2004,4297,33550,37847,1467,172,.,36208
Cotton,2005,5157,33168,38325,530,206,.,37589
Cotton,2006,2640,25518,28158,824,106,.,27229
Cotton,2007,1360,16968,18328,3059,54,.,15215
Cotton,2008,738,12572,13310,353,30,.,12927
Cotton,2009,127,16924,17051,131,5,.,16915
Cotton,2010,35,17106,17141,299,1,.,16841
Cotton,2011,51,12214,12265,520,2,.,11743
Cotton,2012,77,6155,6232,521,3,.,5708
Cotton,2013,55,11900,11955,103,2,.,11850
Cotton,2014,11,13199,13210,100,b/,.,13110
Cotton,2015,6,14098,14104,494,b/,.,13610
Cotton,2016,5,10242,10247,411,b/,.,9836
Cotton,2017,10,15396,15406,210,b/,.,15196
Cotton,2018,27,17605,17632,243,1,.,17387
Cotton,2019,23,17131,17154,604,1,.,16549
Rubber (natural),1990,46348,17470,63818,36880,.,.,26938
Rubber (natural),1991,45176,10230,55406,24200,.,.,31206
Rubber (natural),1992,43130,19750,62880,18570,.,.,44310
Rubber (natural),1993,43665,20500,64165,25170,.,.,38995
Rubber (natural),1994,44707,24242,68949,22510,.,.,46439
Rubber (natural),1995,45405,22024,67429,20882,.,.,46547
Rubber (natural),1996,48174,21381,69555,34488,.,.,35067
Rubber (natural),1997,55327,23282,78609,33520,.,.,45089
Rubber (natural),1998,55688,43688,99376,30124,.,.,69252
Rubber (natural),1999,53640,58911,112551,33000,.,.,79551
Rubber (natural),2000,54077,621,54698,29806,.,.,24892
Rubber (natural),2001,66011,1362,67373,38238,.,.,29135
Rubber (natural),2002,66928,625,67553,44559,.,.,22994
Rubber (natural),2003,68495,1670,70165,55241,.,.,14924
Rubber (natural),2004,77824,1014,78838,44835,.,.,34003
Rubber (natural),2005,78909,348,79257,42439,.,.,36818
Rubber (natural),2006,87892,3919,91811,33915,.,.,57896
Rubber (natural),2007,101018,48441,149459,31474,.,.,117985
Rubber (natural),2008,102761,47708,150469,26866,.,.,123603
Rubber (natural),2009,97741,29001,126742,12126,.,.,114616
Rubber (natural),2010,98884,14138,113022,13101,.,.,99921
Rubber (natural),2011,106426,15576,122002,22904,.,.,99098
Rubber (natural),2012,110750,17202,127952,24985,.,.,102967
Rubber (natural),2013,111205,17503,128708,69589,.,.,59119
Rubber (natural),2014,113263,13679,126942,85410,.,.,41532
Rubber (natural),2015,99534,41297,140831,82608,.,.,58223
Rubber (natural),2016,90656,54902,145558,66965,.,.,78593
Rubber (natural),2017,101746,45615,147361,132732,.,.,14628
Rubber (natural),2018,105843,49784,155627,118110,.,.,37517
Rubber (natural),2019,107919,56135,164053,124272,.,.,39781
Tobacco,1990,81722,11950,93672,12100,.,8172,73400
Tobacco,1991,85182,19490,104672,24200,.,8518,71954
Tobacco,1992,117899,21800,139699,18210,.,11790,109699
Tobacco,1993,104786,13540,118326,17210,.,10479,90637
Tobacco,1994,56900,26640,83540,11930,.,5690,65920
Tobacco,1995,63706,26110,89816,19146,.,6371,64299
Tobacco,1996,64861,14557,79418,18176,.,6486,54756
Tobacco,1997,65292,23859,89151,18171,.,6529,64451
Tobacco,1998,61952,18712,80664,13191,.,6195,61278
Tobacco,1999,51693,28916,80609,17638,.,5169,57802
Tobacco,2000,49529,28036,77565,9712,.,4953,62900
Tobacco,2001,48173,17722,65895,9733,.,4817,51345
Tobacco,2002,50174,24042,74216,11731,.,5017,57468
Tobacco,2003,52903,29916,82819,12252,.,5290,65277
Tobacco,2004,48308,57995,106303,12437,.,4831,89035
Tobacco,2005,45093,71630,116723,14403,.,4509,97811
Tobacco,2006,38368,60323,98691,17448,.,3837,77406
Tobacco,2007,34289,23513,57802,17172,.,3429,37201
Tobacco,2008,32466,56416,88882,23632,.,3247,62004
Tobacco,2009,36383,42865,79248,25763,.,3638,49847
Tobacco,2010,40530,32844,73374,27901,.,4053,41420
Tobacco,2011,44944,42853,87797,28139,.,4494,55164
Tobacco,2012,48075,43047,91122,10930,.,4808,75385
Tobacco,2013,53753,45283,99036,26845,.,5375,66816
Tobacco,2014,61418,28268,89686,31867,.,6142,51677
Tobacco,2015,56193,47715,103908,25000,.,5619,73289
Tobacco,2016,56457,40705,97162,23908,.,5646,67608
Tobacco,2017,51024,40276,91300,34439,.,5102,51759
Tobacco,2018,50381,65363,115744,37089,.,5038,73618
Tobacco,2019,51061,53134,104195,40426,.,5106,58663
