Region,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Current Prices 2025,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024,At Constant 2018 Prices 2025
..National Capital Region (NCR),5814440130,6294194685,5800819179,6157504618,6892127003,7572877704,8211863740,8749999580,5814440130,6224134457,5599931197,5845619151,6268351531,6574558158,6941081282,7243133799
..Cordillera Administrative Region (CAR),308267122,322106088,295502542,323883881,366057851,410079730,445732980,475154793,308267122,321722276,288876582,310765858,337753055,360896543,378449250,394957724
..Region I (Ilocos Region),587597251,630300658,597917300,644125310,729469681,812639321,877303724,925021342,587597251,630362667,581877977,608618834,654835322,700987609,735399361,768631239
..Region II (Cagayan Valley),385061271,399370781,367331248,400003438,455676928,510585340,564944424,579622442,385061271,411513567,371102979,389954561,421045562,446886667,471093613,489535291
..Region III (Central Luzon),2062393875,2184815143,1864111182,2062335867,2367250960,2646449863,2889917254,3040694422,2062393875,2183779631,1881277315,2021186175,2184784695,2316974676,2466190596,2576106276
..Region IV-A (CALABARZON),2706994745,2865792547,2565120461,2785990792,3140377483,3432901355,3725938113,3998754951,2706994745,2831599919,2534444265,2728935837,2942514950,3094205367,3269409925,3436220370
..MIMAROPA Region,370744808,375589553,342643478,382709950,453089929,471001419,509687694,538064872,370744808,386783632,357780630,369725008,392967267,411149258,429369231,447468204
..Region V (Bicol Region),522014835,560835429,516847516,564637176,645781755,700554168,770406903,789384125,522014835,564941774,517770299,540189747,583603946,610052002,640819494,644147526
..Region VI (Western Visayas),511651914,548932481,502320923,552209624,691468130,736799283,797938305,845796704,511651914,551391966,494757859,522420233,575878267,615286742,642468796,683436120
..Negros Island Region (NIR),505425694,540918051,512368550,559885144,643184669,737669188,804785963,853026868,505425694,529792997,489167191,517698272,557728664,601017284,635467031,671683346
..Region VII (Central Visayas),1023975921,1099924833,1006223534,1062680300,1206031058,1353541397,1491859300,1577638355,1023975921,1086837795,976356894,1029946747,1108967233,1189558773,1277041432,1324829548
..Region VIII (Eastern Visayas),444384029,455533643,414265871,450146977,512826609,567729652,621559969,645603173,444384029,469292504,434767718,461066832,492180254,523223162,555230710,560706918
..Region IX (Zamboanga Peninsula),418245339,440428070,438180540,474186487,542297781,595905251,647901262,672297249,418245339,437526234,416782701,440959199,472640310,493061906,513818490,527385853
..Region X (Northern Mindanao),821122015,885223985,860415357,948892065,1070791029,1182241556,1273812965,1342414958,821122015,867432424,821433093,872805112,935273521,984166833,1043900589,1095252943
..Region XI (Davao Region),841429225,922613763,890607548,967140487,1096004125,1255297156,1376188735,1461264481,841429225,900885668,833225496,882189256,954232421,1018227414,1082153113,1137842650
..Region XII (SOCCSKSARGEN),454304549,474892618,467334771,503888631,564300355,623494550,675995277,700694357,454304549,469982193,449247792,472510818,503656063,521362110,550319138,576986930
..Region XIII (Caraga),290561794,302930146,292574562,331856215,376843866,405668923,439650389,477742365,290561794,306260878,285001928,305704709,323893245,339452352,363017751,383725920
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),196575742,213460697,216989009,238537523,274697125,298127336,323956033,336759754,196575742,208510030,204041363,219787871,235298385,245325722,253910495,266586148
Philippines,18265190258,19517863172,17951573570,19410614486,22028276338,24313563195,26449443031,28009934792,18265190258,19382750611,17537843279,18540084220,19945604691,21046392577,22249140300,23228636805
